"　　　　車站
日期",出站,進站
松山機場,5979 ,6329 
中山國中,17317 ,17280 
南京復興,45175 ,42335 
忠孝復興,53362 ,52681 
大安,28726 ,28763 
科技大樓,16735 ,17700 
六張犁,12760 ,13179 
麟光,4347 ,4869 
辛亥,3207 ,3685 
萬芳醫院,16733 ,17827 
萬芳社區,2092 ,2696 
木柵,4938 ,4900 
動物園,6775 ,7257 
大直,11313 ,11927 
劍南路,12345 ,12456 
西湖,19469 ,19549 
港墘,17570 ,18266 
文德,6241 ,6898 
內湖,8987 ,9322 
大湖公園,3233 ,3469 
葫洲,9164 ,9529 
東湖,9484 ,9105 
南港軟體園區,5516 ,6062 
南港展覽館,28287 ,30060 
小碧潭,2556 ,2467 
新店,11502 ,13297 
新店區公所,12698 ,11994 
七張,17891 ,18821 
大坪林,23370 ,24239 
景美,18688 ,19007 
萬隆,10269 ,10911 
公館,31763 ,34595 
台電大樓,20920 ,21422 
古亭,35058 ,35277 
中正紀念堂,32211 ,33537 
小南門,11552 ,11377 
頂溪,40456 ,38990 
永安市場,29287 ,28837 
景安,26836 ,27428 
南勢角,22434 ,23275 
台大醫院,27030 ,24959 
台北車站,182745 ,169683 
中山,43612 ,41567 
雙連,25951 ,23885 
民權西路,25814 ,26534 
圓山,31718 ,30967 
劍潭,37802 ,40604 
士林,33662 ,35368 
芝山,28672 ,28532 
明德,13579 ,14558 
石牌,34587 ,34058 
唭哩岸,7990 ,8776 
奇岩,9035 ,10537 
北投,20308 ,19319 
新北投,6831 ,7612 
復興崗,3642 ,3694 
忠義,3125 ,3109 
關渡,14125 ,14628 
竹圍,10456 ,10182 
紅樹林,6981 ,8292 
淡水,37039 ,42770 
頂埔,8404 ,8705 
永寧,13951 ,12796 
土城,7654 ,7668 
海山,23808 ,22842 
亞東醫院,22317 ,24695 
府中,30216 ,32547 
板橋,53727 ,49510 
新埔,42648 ,44596 
江子翠,28306 ,27740 
龍山寺,30263 ,31683 
西門,78204 ,76204 
善導寺,26375 ,25091 
忠孝新生,36666 ,37661 
忠孝敦化,43540 ,41408 
國父紀念館,25034 ,23646 
市政府,73016 ,70176 
永春,22396 ,22257 
後山埤,18426 ,18385 
昆陽,16347 ,15776 
南港,20030 ,18867 
象山,11101 ,12355 
台北101/世貿,33999 ,34217 
信義安和,20280 ,18979 
大安森林公園,8445 ,8705 
北門,11726 ,12345 
松江南京,43286 ,41319 
台北小巨蛋,27310 ,26311 
南京三民,26534 ,25071 
松山,26157 ,26867 
輔大,13907 ,14127 
新莊,12780 ,11711 
頭前庄,4745 ,5298 
先嗇宮,5027 ,5139 
三重,6394 ,6446 
菜寮,10750 ,10783 
台北橋,10420 ,9753 
大橋頭,12713 ,16105 
中山國小,19144 ,19100 
行天宮,31148 ,29712 
東門,27744 ,27043 
蘆洲,13638 ,14487 
三民高中,13751 ,13271 
徐匯中學,13707 ,12975 
三和國中,12768 ,13267 
三重國小,13076 ,12919 
迴龍,10157 ,11182 
丹鳳,9243 ,10236 
